chip x0 y0 channel x y
3 42.3 42.3 3 -9.3 -25.8
3 42.3 42.3 4 -9.3 -14.8
3 42.3 42.3 5 -9.3 -20.3
3 42.3 42.3 6 -3.8 -42.3
3 42.3 42.3 7 -3.8 -36.8
3 42.3 42.3 8 -3.8 -31.3
3 42.3 42.3 9 -3.8 -25.8
3 42.3 42.3 10 -9.3 -9.3
3 42.3 42.3 11 -3.8 -20.3
3 42.3 42.3 12 -3.8 -14.8
3 42.3 42.3 13 -3.8 -9.3
3 42.3 42.3 14 -3.8 -3.8
3 42.3 42.3 15 -14.8 -3.8
3 42.3 42.3 16 -9.3 -3.8
3 42.3 42.3 17 -14.8 -9.3
3 42.3 42.3 18 -14.8 -14.8
3 42.3 42.3 19 -14.8 -25.8
3 42.3 42.3 20 -14.8 -20.3
3 42.3 42.3 21 -14.8 -36.8
3 42.3 42.3 22 -14.8 -31.3
3 42.3 42.3 23 -20.3 -20.3
3 42.3 42.3 24 -14.8 -42.3
3 42.3 42.3 25 -20.3 -9.3
3 42.3 42.3 26 -20.3 -14.8
3 42.3 42.3 27 -20.3 -31.3
3 42.3 42.3 28 -20.3 -25.8
3 42.3 42.3 29 -20.3 -36.8
3 42.3 42.3 30 -20.3 -42.3
3 42.3 42.3 31 -25.8 -25.8
3 42.3 42.3 32 -20.3 -3.8
3 42.3 42.3 33 -25.8 -20.3
3 42.3 42.3 34 -25.8 -14.8
3 42.3 42.3 35 -25.8 -31.3
3 42.3 42.3 36 -25.8 -36.8
3 42.3 42.3 37 -25.8 -9.3
3 42.3 42.3 38 -25.8 -42.3
3 42.3 42.3 39 -31.3 -42.3
3 42.3 42.3 40 -25.8 -3.8
3 42.3 42.3 41 -31.3 -36.8
3 42.3 42.3 42 -31.3 -31.3
3 42.3 42.3 43 -31.3 -20.3
3 42.3 42.3 44 -31.3 -14.8
3 42.3 42.3 45 -31.3 -25.8
3 42.3 42.3 46 -31.3 -3.8
3 42.3 42.3 47 -42.3 -3.8
3 42.3 42.3 48 -36.8 -3.8
3 42.3 42.3 49 -42.3 -9.3
3 42.3 42.3 50 -42.3 -14.8
3 42.3 42.3 51 -42.3 -20.3
3 42.3 42.3 52 -31.3 -9.3
3 42.3 42.3 53 -36.8 -9.3
3 42.3 42.3 54 -42.3 -25.8
3 42.3 42.3 55 -42.3 -31.3
3 42.3 42.3 56 -42.3 -36.8
3 42.3 42.3 57 -42.3 -42.3
3 42.3 42.3 58 -36.8 -42.3
3 42.3 42.3 59 -36.8 -14.8
3 42.3 42.3 60 -36.8 -20.3
3 42.3 42.3 61 -36.8 -25.8
3 42.3 42.3 62 -36.8 -31.3
3 42.3 42.3 63 -36.8 -36.8
4 -3.8 86.3 0 9.3 -47.8
4 -3.8 86.3 1 9.3 -53.3
4 -3.8 86.3 2 9.3 -58.8
4 -3.8 86.3 3 9.3 -64.3
4 -3.8 86.3 4 9.3 -69.8
4 -3.8 86.3 5 3.8 -47.8
4 -3.8 86.3 6 9.3 -75.3
4 -3.8 86.3 7 3.8 -53.3
4 -3.8 86.3 8 3.8 -58.8
4 -3.8 86.3 9 3.8 -64.3
4 -3.8 86.3 10 3.8 -69.8
4 -3.8 86.3 11 14.8 -80.8
4 -3.8 86.3 12 9.3 -80.8
4 -3.8 86.3 13 3.8 -75.3
4 -3.8 86.3 14 3.8 -80.8
4 -3.8 86.3 15 9.3 -86.3
4 -3.8 86.3 16 3.8 -86.3
4 -3.8 86.3 17 14.8 -86.3
4 -3.8 86.3 18 14.8 -64.3
4 -3.8 86.3 19 14.8 -75.3
4 -3.8 86.3 20 14.8 -69.8
4 -3.8 86.3 21 14.8 -53.3
4 -3.8 86.3 22 14.8 -47.8
4 -3.8 86.3 23 14.8 -58.8
4 -3.8 86.3 24 20.3 -86.3
4 -3.8 86.3 25 20.3 -80.8
4 -3.8 86.3 26 20.3 -47.8
4 -3.8 86.3 27 20.3 -58.8
4 -3.8 86.3 28 20.3 -53.3
4 -3.8 86.3 29 20.3 -69.8
4 -3.8 86.3 30 25.8 -47.8
4 -3.8 86.3 31 20.3 -64.3
4 -3.8 86.3 32 20.3 -75.3
4 -3.8 86.3 33 25.8 -53.3
4 -3.8 86.3 34 25.8 -86.3
4 -3.8 86.3 35 25.8 -58.8
4 -3.8 86.3 36 25.8 -64.3
4 -3.8 86.3 37 25.8 -80.8
4 -3.8 86.3 38 25.8 -75.3
4 -3.8 86.3 39 25.8 -69.8
4 -3.8 86.3 40 31.3 -47.8
4 -3.8 86.3 41 31.3 -53.3
4 -3.8 86.3 42 31.3 -58.8
4 -3.8 86.3 43 31.3 -64.3
4 -3.8 86.3 44 31.3 -69.8
4 -3.8 86.3 45 31.3 -75.3
4 -3.8 86.3 46 31.3 -80.8
4 -3.8 86.3 47 36.8 -86.3
4 -3.8 86.3 48 31.3 -86.3
4 -3.8 86.3 49 42.3 -86.3
4 -3.8 86.3 50 42.3 -80.8
4 -3.8 86.3 51 42.3 -75.3
4 -3.8 86.3 52 36.8 -80.8
4 -3.8 86.3 53 42.3 -69.8
4 -3.8 86.3 54 42.3 -64.3
4 -3.8 86.3 55 42.3 -58.8
4 -3.8 86.3 56 42.3 -53.3
4 -3.8 86.3 57 42.3 -47.8
4 -3.8 86.3 58 36.8 -47.8
4 -3.8 86.3 59 36.8 -75.3
4 -3.8 86.3 60 36.8 -53.3
4 -3.8 86.3 61 36.8 -64.3
4 -3.8 86.3 62 36.8 -69.8
4 -3.8 86.3 63 36.8 -58.8
5 -3.8 42.3 0 36.8 -42.3
5 -3.8 42.3 1 36.8 -36.8
5 -3.8 42.3 2 36.8 -31.3
5 -3.8 42.3 3 36.8 -25.8
5 -3.8 42.3 4 36.8 -14.8
5 -3.8 42.3 5 36.8 -20.3
5 -3.8 42.3 6 42.3 -42.3
5 -3.8 42.3 7 42.3 -36.8
5 -3.8 42.3 8 42.3 -31.3
5 -3.8 42.3 9 42.3 -25.8
5 -3.8 42.3 10 36.8 -9.3
5 -3.8 42.3 11 42.3 -20.3
5 -3.8 42.3 12 42.3 -14.8
5 -3.8 42.3 13 42.3 -9.3
5 -3.8 42.3 14 42.3 -3.8
5 -3.8 42.3 15 31.3 -3.8
5 -3.8 42.3 16 36.8 -3.8
5 -3.8 42.3 17 31.3 -9.3
5 -3.8 42.3 18 31.3 -14.8
5 -3.8 42.3 19 31.3 -25.8
5 -3.8 42.3 20 31.3 -20.3
5 -3.8 42.3 21 31.3 -36.8
5 -3.8 42.3 22 31.3 -31.3
5 -3.8 42.3 23 25.8 -20.3
5 -3.8 42.3 24 31.3 -42.3
5 -3.8 42.3 25 25.8 -9.3
5 -3.8 42.3 26 25.8 -14.8
5 -3.8 42.3 27 25.8 -31.3
5 -3.8 42.3 28 25.8 -25.8
5 -3.8 42.3 29 25.8 -36.8
5 -3.8 42.3 30 25.8 -42.3
5 -3.8 42.3 31 20.3 -25.8
5 -3.8 42.3 32 25.8 -3.8
5 -3.8 42.3 33 20.3 -20.3
5 -3.8 42.3 34 20.3 -14.8
5 -3.8 42.3 35 20.3 -31.3
5 -3.8 42.3 36 20.3 -36.8
5 -3.8 42.3 37 20.3 -9.3
5 -3.8 42.3 38 20.3 -42.3
5 -3.8 42.3 39 14.8 -42.3
5 -3.8 42.3 40 20.3 -3.8
5 -3.8 42.3 41 14.8 -36.8
5 -3.8 42.3 42 14.8 -31.3
5 -3.8 42.3 43 14.8 -20.3
5 -3.8 42.3 44 14.8 -14.8
5 -3.8 42.3 45 14.8 -25.8
5 -3.8 42.3 46 14.8 -3.8
5 -3.8 42.3 47 3.8 -3.8
5 -3.8 42.3 48 9.3 -3.8
5 -3.8 42.3 49 3.8 -9.3
5 -3.8 42.3 50 3.8 -14.8
5 -3.8 42.3 51 3.8 -20.3
5 -3.8 42.3 52 14.8 -9.3
5 -3.8 42.3 53 9.3 -9.3
5 -3.8 42.3 54 3.8 -25.8
5 -3.8 42.3 55 3.8 -31.3
5 -3.8 42.3 56 3.8 -36.8
5 -3.8 42.3 57 3.8 -42.3
5 -3.8 42.3 58 9.3 -42.3
5 -3.8 42.3 59 9.3 -14.8
5 -3.8 42.3 60 9.3 -20.3
5 -3.8 42.3 61 9.3 -25.8
5 -3.8 42.3 62 9.3 -31.3
5 -3.8 42.3 63 9.3 -36.8
6 -47.8 86.3 0 53.3 -58.8
6 -47.8 86.3 1 53.3 -53.3
6 -47.8 86.3 2 53.3 -64.3
6 -47.8 86.3 3 53.3 -69.8
6 -47.8 86.3 4 53.3 -75.3
6 -47.8 86.3 5 53.3 -47.8
6 -47.8 86.3 6 47.8 -75.3
6 -47.8 86.3 7 58.8 -47.8
6 -47.8 86.3 8 47.8 -69.8
6 -47.8 86.3 9 58.8 -53.3
6 -47.8 86.3 10 47.8 -80.8
6 -47.8 86.3 11 53.3 -80.8
6 -47.8 86.3 12 47.8 -64.3
6 -47.8 86.3 13 47.8 -58.8
6 -47.8 86.3 14 47.8 -53.3
6 -47.8 86.3 15 47.8 -47.8
6 -47.8 86.3 16 47.8 -86.3
6 -47.8 86.3 17 53.3 -86.3
6 -47.8 86.3 18 64.3 -47.8
6 -47.8 86.3 19 58.8 -58.8
6 -47.8 86.3 20 64.3 -53.3
6 -47.8 86.3 21 58.8 -64.3
6 -47.8 86.3 22 58.8 -69.8
6 -47.8 86.3 23 58.8 -75.3
6 -47.8 86.3 24 69.8 -47.8
6 -47.8 86.3 25 58.8 -80.8
6 -47.8 86.3 26 58.8 -86.3
6 -47.8 86.3 27 64.3 -58.8
6 -47.8 86.3 28 75.3 -47.8
6 -47.8 86.3 29 69.8 -53.3
6 -47.8 86.3 30 75.3 -53.3
6 -47.8 86.3 31 64.3 -64.3
6 -47.8 86.3 32 64.3 -86.3
6 -47.8 86.3 33 69.8 -58.8
6 -47.8 86.3 34 64.3 -69.8
6 -47.8 86.3 35 64.3 -75.3
6 -47.8 86.3 36 75.3 -58.8
6 -47.8 86.3 37 64.3 -80.8
6 -47.8 86.3 38 69.8 -64.3
6 -47.8 86.3 39 80.8 -47.8
6 -47.8 86.3 40 86.3 -86.3
6 -47.8 86.3 41 69.8 -69.8
6 -47.8 86.3 42 86.3 -47.8
6 -47.8 86.3 43 69.8 -75.3
6 -47.8 86.3 44 80.8 -86.3
6 -47.8 86.3 45 69.8 -86.3
6 -47.8 86.3 46 69.8 -80.8
6 -47.8 86.3 47 86.3 -80.8
6 -47.8 86.3 48 75.3 -86.3
6 -47.8 86.3 49 86.3 -75.3
6 -47.8 86.3 50 80.8 -80.8
6 -47.8 86.3 51 86.3 -69.8
6 -47.8 86.3 52 75.3 -80.8
6 -47.8 86.3 53 80.8 -75.3
6 -47.8 86.3 54 86.3 -64.3
6 -47.8 86.3 55 86.3 -58.8
6 -47.8 86.3 56 80.8 -69.8
6 -47.8 86.3 57 86.3 -53.3
6 -47.8 86.3 58 75.3 -75.3
6 -47.8 86.3 59 80.8 -64.3
6 -47.8 86.3 60 75.3 -69.8
6 -47.8 86.3 61 80.8 -58.8
6 -47.8 86.3 62 80.8 -53.3
6 -47.8 86.3 63 75.3 -64.3
7 -47.8 42.3 0 80.8 -36.8
7 -47.8 42.3 1 75.3 -25.8
7 -47.8 42.3 2 80.8 -31.3
7 -47.8 42.3 3 86.3 -36.8
7 -47.8 42.3 4 80.8 -25.8
7 -47.8 42.3 5 75.3 -14.8
7 -47.8 42.3 6 75.3 -20.3
7 -47.8 42.3 7 80.8 -20.3
7 -47.8 42.3 8 86.3 -31.3
7 -47.8 42.3 9 86.3 -25.8
7 -47.8 42.3 10 75.3 -9.3
7 -47.8 42.3 11 80.8 -14.8
7 -47.8 42.3 12 86.3 -20.3
7 -47.8 42.3 13 80.8 -9.3
7 -47.8 42.3 14 86.3 -14.8
7 -47.8 42.3 15 75.3 -3.8
7 -47.8 42.3 16 86.3 -9.3
7 -47.8 42.3 17 69.8 -9.3
7 -47.8 42.3 18 69.8 -3.8
7 -47.8 42.3 19 69.8 -14.8
7 -47.8 42.3 20 80.8 -3.8
7 -47.8 42.3 21 69.8 -20.3
7 -47.8 42.3 22 86.3 -42.3
7 -47.8 42.3 23 80.8 -42.3
7 -47.8 42.3 24 86.3 -3.8
7 -47.8 42.3 25 64.3 -9.3
7 -47.8 42.3 26 69.8 -25.8
7 -47.8 42.3 27 64.3 -14.8
7 -47.8 42.3 28 75.3 -31.3
7 -47.8 42.3 29 69.8 -31.3
7 -47.8 42.3 30 75.3 -36.8
7 -47.8 42.3 31 64.3 -25.8
7 -47.8 42.3 32 64.3 -20.3
7 -47.8 42.3 33 69.8 -36.8
7 -47.8 42.3 34 64.3 -3.8
7 -47.8 42.3 35 64.3 -31.3
7 -47.8 42.3 36 75.3 -42.3
7 -47.8 42.3 37 58.8 -9.3
7 -47.8 42.3 38 58.8 -3.8
7 -47.8 42.3 39 58.8 -14.8
7 -47.8 42.3 40 69.8 -42.3
7 -47.8 42.3 41 58.8 -25.8
7 -47.8 42.3 42 58.8 -20.3
7 -47.8 42.3 43 58.8 -31.3
7 -47.8 42.3 44 64.3 -36.8
7 -47.8 42.3 45 64.3 -42.3
7 -47.8 42.3 46 53.3 -3.8
7 -47.8 42.3 47 47.8 -3.8
7 -47.8 42.3 48 47.8 -42.3
7 -47.8 42.3 49 47.8 -36.8
7 -47.8 42.3 50 47.8 -31.3
7 -47.8 42.3 51 47.8 -25.8
7 -47.8 42.3 52 53.3 -9.3
7 -47.8 42.3 53 47.8 -9.3
7 -47.8 42.3 54 58.8 -36.8
7 -47.8 42.3 55 47.8 -20.3
7 -47.8 42.3 56 58.8 -42.3
7 -47.8 42.3 57 47.8 -14.8
7 -47.8 42.3 58 53.3 -14.8
7 -47.8 42.3 59 53.3 -42.3
7 -47.8 42.3 60 53.3 -20.3
7 -47.8 42.3 61 53.3 -25.8
7 -47.8 42.3 62 53.3 -31.3
7 -47.8 42.3 63 53.3 -36.8
8 86.3 -3.8 0 -80.8 36.8
8 86.3 -3.8 1 -75.3 25.8
8 86.3 -3.8 2 -80.8 31.3
8 86.3 -3.8 3 -86.3 36.8
8 86.3 -3.8 4 -80.8 25.8
8 86.3 -3.8 5 -75.3 14.8
8 86.3 -3.8 6 -75.3 20.3
8 86.3 -3.8 7 -80.8 20.3
8 86.3 -3.8 8 -86.3 31.3
8 86.3 -3.8 9 -86.3 25.8
8 86.3 -3.8 10 -75.3 9.3
8 86.3 -3.8 11 -80.8 14.8
8 86.3 -3.8 12 -86.3 20.3
8 86.3 -3.8 13 -80.8 9.3
8 86.3 -3.8 14 -86.3 14.8
8 86.3 -3.8 15 -75.3 3.8
8 86.3 -3.8 16 -86.3 9.3
8 86.3 -3.8 17 -69.8 9.3
8 86.3 -3.8 18 -69.8 3.8
8 86.3 -3.8 19 -69.8 14.8
8 86.3 -3.8 20 -80.8 3.8
8 86.3 -3.8 21 -69.8 20.3
8 86.3 -3.8 22 -86.3 42.3
8 86.3 -3.8 23 -80.8 42.3
8 86.3 -3.8 24 -86.3 3.8
8 86.3 -3.8 25 -64.3 9.3
8 86.3 -3.8 26 -69.8 25.8
8 86.3 -3.8 27 -64.3 14.8
8 86.3 -3.8 28 -75.3 31.3
8 86.3 -3.8 29 -69.8 31.3
8 86.3 -3.8 30 -75.3 36.8
8 86.3 -3.8 31 -64.3 25.8
8 86.3 -3.8 32 -64.3 20.3
8 86.3 -3.8 33 -69.8 36.8
8 86.3 -3.8 34 -64.3 3.8
8 86.3 -3.8 35 -64.3 31.3
8 86.3 -3.8 36 -75.3 42.3
8 86.3 -3.8 37 -58.8 9.3
8 86.3 -3.8 38 -58.8 3.8
8 86.3 -3.8 39 -58.8 14.8
8 86.3 -3.8 40 -69.8 42.3
8 86.3 -3.8 41 -58.8 25.8
8 86.3 -3.8 42 -58.8 20.3
8 86.3 -3.8 43 -58.8 31.3
8 86.3 -3.8 44 -64.3 36.8
8 86.3 -3.8 45 -64.3 42.3
8 86.3 -3.8 46 -53.3 3.8
8 86.3 -3.8 47 -47.8 3.8
8 86.3 -3.8 48 -47.8 42.3
8 86.3 -3.8 49 -47.8 36.8
8 86.3 -3.8 50 -47.8 31.3
8 86.3 -3.8 51 -47.8 25.8
8 86.3 -3.8 52 -53.3 9.3
8 86.3 -3.8 53 -47.8 9.3
8 86.3 -3.8 54 -58.8 36.8
8 86.3 -3.8 55 -47.8 20.3
8 86.3 -3.8 56 -58.8 42.3
8 86.3 -3.8 57 -47.8 14.8
8 86.3 -3.8 58 -53.3 14.8
8 86.3 -3.8 59 -53.3 42.3
8 86.3 -3.8 60 -53.3 20.3
8 86.3 -3.8 61 -53.3 25.8
8 86.3 -3.8 62 -53.3 31.3
8 86.3 -3.8 63 -53.3 36.8
9 86.3 -47.8 0 -53.3 58.8
9 86.3 -47.8 1 -53.3 53.3
9 86.3 -47.8 2 -53.3 64.3
9 86.3 -47.8 3 -53.3 69.8
9 86.3 -47.8 4 -53.3 75.3
9 86.3 -47.8 5 -53.3 47.8
9 86.3 -47.8 6 -47.8 75.3
9 86.3 -47.8 7 -58.8 47.8
9 86.3 -47.8 8 -47.8 69.8
9 86.3 -47.8 9 -58.8 53.3
9 86.3 -47.8 10 -47.8 80.8
9 86.3 -47.8 11 -53.3 80.8
9 86.3 -47.8 12 -47.8 64.3
9 86.3 -47.8 13 -47.8 58.8
9 86.3 -47.8 14 -47.8 53.3
9 86.3 -47.8 15 -47.8 47.8
9 86.3 -47.8 16 -47.8 86.3
9 86.3 -47.8 17 -53.3 86.3
9 86.3 -47.8 18 -64.3 47.8
9 86.3 -47.8 19 -58.8 58.8
9 86.3 -47.8 20 -64.3 53.3
9 86.3 -47.8 21 -58.8 64.3
9 86.3 -47.8 22 -58.8 69.8
9 86.3 -47.8 23 -58.8 75.3
9 86.3 -47.8 24 -69.8 47.8
9 86.3 -47.8 25 -58.8 80.8
9 86.3 -47.8 26 -58.8 86.3
9 86.3 -47.8 27 -64.3 58.8
9 86.3 -47.8 28 -75.3 47.8
9 86.3 -47.8 29 -69.8 53.3
9 86.3 -47.8 30 -75.3 53.3
9 86.3 -47.8 31 -64.3 64.3
9 86.3 -47.8 32 -64.3 86.3
9 86.3 -47.8 33 -69.8 58.8
